Название,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Архангельская область (кроме Ненецкого автономного округа),,,,,,,,,,,,,,"3430,9","4269,95","4303,49","4569,64","4656,65","4975,1","4983,13","5583,56","6568,39","6809,14"
Вологодская область,"761,41","910,25","1050,13","1143,2","1265,8","1389,87","1524,94","1942,84","2284,97","2356,29","3002,8","2616,85","2865,38","3196,46","3946,65","3944,72","4052,95","4117,73","4314,52","4294,66","4816,49","5736,48","6114,96"
Калининградская область,"815,27","1003,75","1011,97","1163,53","1332,28","1528,7","1720,15","2057,87","2554,51",2445,"2942,16","2686,35","2810,1","3096,3","3879,1","3948,25","4133,2","4359,19","4732,3","4604,73","5037,38","6084,53","6382,09"
Ленинградская область,"794,67","975,69","1073,22","1191,41","1348,47","1481,96","1627,83","1971,99","2288,57","2449,47","2968,86","2800,82","3003,81","3232,4","4054,56","4227,93","4471,14","4571,86","4808,17","4829,24","5140,43","6157,39","6264,33"
Мурманская область,"973,65","1153,55","1291,19","1365,86","1516,92","1683,64","1793,28","2286,54","2701,71","2763,96","3358,19","2969,48","3200,17","3497,91","4307,18","4378,16","4545,05","4665,77","5027,33","5208,36","5562,81","6406,57","7004,4"
Новгородская область,"735,55","885,26","972,84","1075,6","1212,95","1355,29","1472,91","1876,53","2135,05","2266,04","2791,33","2470,86","2725,05","3040,29","3701,44","3752,28","3958,08","4075,3","4344,8","4369,44","4783,55","5618,93","5948,55"
Псковская область,"726,81","877,24","963,98","1063,72","1183,22","1357,34","1425,51","1834,43","2211,11","2293,48","2855,12","2563,68","2763,9","3122,07","3936,99","4085,79","4084,44","4099,63","4410,24","4289,23","4712,43","5653,91","5964,66"
Санкт-Петербург,"860,36","1052,24","1145,6","1237,92","1345,52","1482,29","1630,63","1997,98","2332,87","2416,67","3051,84","2822,64","2968,35","3295,4","4241,26","4355,52","4484,79","4625,2","4859,16","4766,22","5109,54","6213,91","6407,82"
Южный федеральный округ (по 2009 год),"704,08","888,29","981,52","1023,29","1158,24","1335,89","1426,35","1788,82","2042,03",,,,,,,,,,,,,,
Южный федеральный округ (с 2010 года),,,,,,,,,"2042,8","2073,47","2652,36","2303,61",2473,"2732,22","3410,68","3496,44",,,,,,,
Южный федеральный округ (с 29.07.2016),,,,,,,,,,,,,,,,,"3591,73","3604,7","3934,81","3947,83","4357,69","5199,87","5325,04"
Республика Адыгея (Адыгея),"733,02","874,9","960,02","1036,02","1159,08","1331,61","1518,57","1823,36","2065,31","2022,23","2696,12","2323,01","2495,89","2756,04","3410,07","3559,01","3605,82","3683,32","3877,61","3892,88","4310,94","5096,9",4980
Республика Калмыкия,"670,33","827,32","965,07","925,6","1086,29","1357,01","1321,36","1657,34","1948,61","2008,87","2621,06","2354,54","2544,95","2792,42","3371,03","3374,46","3549,66","3721,64","4068,91","4171,93","4618,35","5584,15","5209,38"
Республика Крым,,,,,,,,,,,,,,,"3179,22","3811,49","3756,01","3768,49","4156,68","4171,39","4670,05","5541,09","5581,32"
Краснодарский край,"679,64","906,42","1008,75","1037,38","1200,39","1374,62","1479,62","1747,61","2076,12","2118,41","2712,48","2400,96","2644,75","2993,54","3630,47","3801,66","3881,12","3914,04","4224,72","4257,66","4637,68","5547,09","5692,7"
Астраханская область,"756,2","917,1","981,33","1021,63","1142,8","1354,49","1427,48","1876,86","2092,86","2060,25","2711,77","2326,11","2475,87","2727,42","3472,85","3475,73","3601,35","3697,15","4080,57","4137,57","4465,42","5056,21","5270,54"
Волгоградская область,"762,59","907,5","984,41","1022,78","1127,46","1309,74","1384,64","1810,48","2021,27","2036,92","2693,34","2221,74","2327,13","2567,35","3359,71","3362,39","3365,99","3380,2","3660,11","3578,62","4012,62","4781,92","4769,54"
Ростовская область,"664,29",849,"945,16","987,6","1133,33","1348,28","1410,42","1785,63","2007,99","2054,39","2615,19","2282,35","2463,66","2700,94","3339,07","3380,06","3429,09","3452,86","3749,24","3793,71","4235,91","5128,67","5272,18"
Севастополь,,,,,,,,,,,,,,,"3238,88","3719,03","3929,01","3931,22","4637,54","4257,46","4587,72","5692,16","5755,33"
Северо-Кавказский федеральный округ,,,,,,,,,"2042,68","2079,35","2673,75","2363,21","2550,15","2775,62","3364,59","3472,35","3562,12","3577,66","3858,61","3945,68","4376,28","5178,1","5343,11"
Республика Дагестан,"703,79","874,51","976,48","1045,66","1168,8","1304,02","1387,73","1800,41","2007,03","2006,85","2651,66","2437,75","2638,83","2843,58","3514,85","3612,82","3750,04","3771,58","3941,73","4067,42","4492,07","5376,12","5425,55"
Республика Ингушетия,"868,48","957,68","1242,86","1247,12","1284,13","1438,51","1565,79","1879,61","2235,75","2278,15","2608,53","2334,32","2534,38","2837,97","3408,96","3661,94","3681,45","3831,71","3838,55","4032,33","4367,93","5235,86","5721,08"
Кабардино-Балкарская Республика,"682,88","865,69","963,22","927,05","1090,3","1247,44",1386,"1716,17","1906,18","1869,44","2554,97","2189,62","2404,96","2650,9","3229,1","3245,36","3331,66","3420,18","3718,11","3818,82","4220,26","4911,17","5031,39"
