Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Томская область,"Филе сельди соленое, кг",,,,,,,,,,,,"224,06","250,31","262,31","312,07","411,41","441,75","418,65","418,74","409,35","414,38","469,65",563
Томская область,"Консервы рыбные натуральные и с добавлением масла, 350 г",,,"26,38","28,83","29,55","33,18","32,75","37,15","40,61","50,18","55,13","56,34","53,91","57,4","62,07","83,7","88,44","90,99","94,77","95,88","111,92",,
Томская область,"Консервы рыбные в томатном соусе, 350 г",,,"12,91","13,44","13,77","15,96","16,03","18,53","21,42","24,18","24,53","25,36","29,13","29,37","32,13","36,3","39,31","41,8","39,63","44,41","47,29",,
Томская область,"Пресервы рыбные, 350 г",,,,,,,,,,,,"59,42","64,42","79,76","99,02","138,65","147,81",,,,,,
Томская область,"Масло сливочное, кг",,,"84,04","91,61","90,49","95,46","101,06","136,2","152,61",167,"197,5","204,5","222,8","252,01","275,57","291,32","381,97","406,02","424,85","488,18","507,44","609,72","681,7"
Томская область,"Масло подсолнечное, кг",,,"38,4","41,3","40,83","40,89","38,25","60,38","73,17","58,13","80,86","80,01","81,68","77,94","88,94","116,23","113,23","106,08","105,75","103,36","131,12",,
Томская область,"Масло оливковое, л",,,,,,,,,"444,54","551,38","551,03","545,26","597,05","591,37","611,45","834,33","958,02","975,75","1039,03","1070,74",1044,"1141,92","1252,61"
Томская область,"Маргарин, кг",,,"32,55","35,65","36,07",38,"36,35","48,82","63,31","63,9","66,5","68,4","68,44","71,99","85,59","112,74","119,66","121,79","127,24","138,24","160,4","179,15","245,06"
Томская область,"Сметана, кг",,,"50,85","61,86","69,63","74,53","63,93","75,1","82,08","80,76","93,84","101,64","111,35","120,66","140,46","155,22","155,8","163,3","162,8","178,81","188,77","231,19","239,39"
Томская область,"Кисломолочные продукты, кг",,,"18,93","22,88","24,37","26,05","27,22","30,54","31,18","32,35","39,66","41,79","44,13","49,81","59,98","67,07","71,88","71,99","73,06","77,87","85,06","96,24","106,85"
Томская область,"Творог жирный, кг",,,"58,71","80,33","91,67","100,94","94,98","126,05","145,9","140,85","172,99","178,71","189,28","212,39","250,82","272,89","283,72","298,09","302,21","332,67","329,48",,
Томская область,"Сырки творожные, глазированные шоколадом, кг",,,,"5,56","5,71","5,8",6,"6,79","7,17","7,77","8,78","8,94","9,4","11,01","12,72","16,19","18,62","19,63","26,8","37,18","37,52",,
Томская область,"Творог нежирный, кг",,,"43,39","61,89","67,07","81,24","87,29","117,36","129,89","131,64","157,23","158,81","160,16","179,47","210,71","226,26","243,02","248,06","237,47","258,26","255,14",,
Томская область,"Молоко цельное разливное, л",,,"10,13","10,83","12,39","14,5","15,63","18,36","26,34",,,,,,,,,,,,,,
Томская область,"Молоко цельное пастеризованное, стерилизованное 2,5-3,2% жирности, л",,,"16,67","17,89","19,21","21,28","20,08","25,16",,,,,,,,,,,,,,,
Томская область,"Йогурт, 125 г",,,"7,39","7,58","7,65","8,31","8,34","9,86","12,14","12,15","12,66","13,28","14,24","15,13","17,42","19,81","22,07","22,43","23,99","26,26","25,91",,
Томская область,"Молоко питьевое цельное пастеризованное 2,5-3,2% жирности, л",,,,,,,,,"27,04","27,06","33,55","35,26","37,29","40,75","46,25","48,69","51,11","53,65","55,84","60,39","59,83","74,29","78,81"
Томская область,"Молоко питьевое цельное стерилизованное 2,5-3,2% жирности, л",,,,,,,,,"35,83","36,98","43,54","44,97","47,45","52,75","66,13","73,01","76,38","82,84","88,75","96,17","91,44","99,71","102,17"
Томская область,"Молочный напиток пастеризованный 2,5-3,2% жирности, л",,,,,,,,,"19,44",,,,,,,,,,,,,,
