Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Забайкальский край,"Вино виноградное крепленое, л",,,,,,,,,,,,,,,,,,,,,,,"925,71"
Забайкальский край,"Вино виноградное столовое, л",,,,,,,,,,,,,,,,,,,,,,,"578,3"
Забайкальский край,"Витамин Д3, 10 капсул",,,,,,,,,,,,,,,,,,,,,"242,77","219,61","209,11"
Забайкальский край,"Водка, л",,,,,,,,,,,,,,,,,,,,,,,"819,94"
Забайкальский край,"Газета в розницу, шт.",,,,,,,,,,,,,,,,,,,,,,"26,23","29,52"
Забайкальский край,"Гастроскопия (ФГДС, ЭГДС), услуга",,,,,,,,,,,,,,,,,,,,,"1781,42","1781,42","1797,36"
Забайкальский край,"Гель для душа, 250 мл",,,,,,,,,,,,,,,,,,,,,"168,58","174,61","246,66"
Забайкальский край,"Гипсокартон, м2",,,,,,,,,,,,,,,,,,,,,,,"185,46"
Забайкальский край,"Головной убор женский из овчины, меха кролика,  искусственного меха,  или комбинированный с кожей, замшей, утепленный, шт.",,,"473,81","556,63","588,57","692,82","692,82","692,82","911,8","1216,33","1216,33","1216,33","1749,59",,,,,,,,,,
Забайкальский край,"Грибы свежие, кг",,,,,,,,,,,,,,,,,,,,,"417,31","443,84","554,98"
Забайкальский край,"Гриппферон, 10000 МЕ/мл, 10 мл",,,,,,,,,,,,,,,,,,,,,,"328,59","323,3"
Забайкальский край,"Дезинфицирующее средство для поверхностей, л",,,,,,,,,,,,,,,,,,,,,"191,05","199,92","240,87"
Забайкальский край,"Дезодорант, 50 мл",,,,,,,,,,,,,,,,,,,,,"189,65","214,38","274,06"
Забайкальский край,"Джемпер (свитер) для детей дошкольного возраста (рост 92-122 см), шт.",,,"179,97","190,12","206,24","221,17","241,49","256,75","317,04","354,73","381,81","421,05","395,12",,,,,,,,,,
Забайкальский край,"Диагностика на магнитно-резонансном или компьютерном томографе, услуга",,,,,,,,,,,,,,,,,,,,,"3621,2","3621,2","3811,72"
Забайкальский край,"Ибупрофен, 200 мг, 10 таблеток",,,,,,,,,,,,,,,,,,,,,"33,66","33,4","34,31"
Забайкальский край,"Ингавирин, 90 мг, 10 капсул",,,,,,,,,,,,,,,,,,,,,,"806,48","821,8"
Забайкальский край,"Ингалипт, аэрозоль для местного применения, 30 мл",,,,,,,,,,,,,,,,,,,,,,,"167,29"
Забайкальский край,"Йогурт, кг",,,,,,,,,,,,,,,,,,,,,,"262,52","304,88"
Забайкальский край,"Канефрон Н, 60 таблеток",,,,,,,,,,,,,,,,,,,,,,"706,1","699,8"
Забайкальский край,"Кастрюля, шт.",,,,,,,,,,,,,,,,,,,,,,,"900,36"
Забайкальский край,"Кеторол Экспресс, 10 мг, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"30,35","33,48"
Забайкальский край,"Клубная карта в фитнес-клуб, месяц",,,,,,,,,,,,,,,,,,,,,,"1846,31","2180,47"
Забайкальский край,"Книга художественная, шт.",,,,,,,,,,,,,,,,,,,,,,,"461,57"
Забайкальский край,"Комбинация женская трикотажная, шт.",,,"143,37","156,13","159,52","168,54","183,52","188,46","192,01",,,,,,,,,,,,,,
Забайкальский край,"Комбинированные контрацептивы, 21 таблетка",,,,,,"118,39","123,44","150,09",,,,,,,,,,,,,,,
Забайкальский край,"Комиссия банка за перевод средств с карты на карту клиенту другого банка на территории России, услуга",,,,,,,,,,,,,,,,,,,,,"149,76","149,76","149,01"
Забайкальский край,"Комплект столовых приборов, комплект",,,,,,,,,,,,,,,,,,,,,,,"514,88"
Забайкальский край,"Консервы мясные, кг",,,,,,,,,,,,,,,,,,,,,,"421,8","545,47"
Забайкальский край,"Консервы рыбные в томатном соусе, кг",,,,,,,,,,,,,,,,,,,,,,"262,05","337,97"
Забайкальский край,"Консервы рыбные натуральные и с добавлением масла, кг",,,,,,,,,,,,,,,,,,,,,,"481,86","736,02"
Забайкальский край,"Коньки, пара",,,,,,,,,,,,,,,,,,,,,,,"3558,19"
Забайкальский край,"Костюм трикотажный для детей дошкольного возраста, комплект",,,"235,84","238,02","245,73","260,66","286,98","291,43","324,99","360,75","417,68","450,53","498,06",,,,,,,,,,
Забайкальский край,"Крем детский, 100 г (100 мл)",,,,,,,,,,,,,,,,,,,,,,,"212,4"
Забайкальский край,"Кресло детское автомобильное, шт.",,,,,,,,,,,,,,,,,,,,,,,"5338,71"
Забайкальский край,"Кресло мягкое, шт.",,,,,,,,,,,,,,,,,,,,,"14021,01","16806,3","17070,79"
Забайкальский край,"Кроссовые туфли для взрослых, пара",,,,,,,,,,,,,,,,,,,,,,"1978,23","2634,38"
Забайкальский край,"Ксарелто, 20 мг, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"1190,74","1182,01"
Забайкальский край,"Куртка для детей школьного возраста с верхом из плащевых тканей без утеплителя (ветровка), шт.",,,,,,"318,23","335,82","337,79","360,38","600,08","714,89","796,85","865,08",,,,,,,,,,
Забайкальский край,"Магне В6, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"98,43","110,49"
Забайкальский край,"Майка детская, шт.",,,"29,75","32,27","35,74",39,"43,01","46,56","52,91","58,71","65,5","73,25","73,82",,,,,,,,,,
Забайкальский край,"Масло подсолнечное, л",,,,,,,,,,,,,,,,,,,,,,"141,59","142,72"
Забайкальский край,"Матрас для взрослых, шт.",,,,,,,,,,,,,,,,,,,,,"11300,32","12577,37","14764,19"
Забайкальский край,"Метилурацил, 10 % мазь, 25 г",,,,,,,,,,,,,,,,,,,,,,"81,01","89,01"
Забайкальский край,"Меховой головной убор детский, шт.",,,"302,48","316,36","314,97","315,24","326,43","366,48","439,07","476,82","690,35","804,37","831,41",,,,,,,,,,
Забайкальский край,"Мидокалм, 150 мг, 30 таблеток",,,,,,,,,,,,,,,,,,,,,,"480,34","571,45"
Забайкальский край,"Мирамистин, 0,01%, 150 мл",,,,,,,,,,,,,,,,,,,,,,"476,17","597,97"
Забайкальский край,"Молоко для детей, л",,,,,,,,,,,,,,,,,,,,,,,"214,11"
Забайкальский край,"Молоко питьевое цельное пастеризованное более 3,2% жирности, л",,,,,,,,,,,,,,,,,,,,,,,"129,25"
Забайкальский край,"Молоко сгущенное с сахаром, кг",,,,,,,,,,,,,,,,,,,,,,"252,02","366,52"
Забайкальский край,"Музыкальный центр, шт.",,,,,,,"5987,61","6090,69",,,,,,,,,,,,,,,
Забайкальский край,"Мыло туалетное жидкое, 250 мл",,,,,,,,,,,,,,,,,,,,,"110,37","121,64","168,41"
Забайкальский край,"Настойка боярышника, 25 мл",,,,,,"9,45","10,46",11,,,,,,,,,,,,,,,
Забайкальский край,"Натрия хлорид, 0,9%, 100 мл",,,,,,,,,,,,,,,,,,,,,,"43,68","49,9"
Забайкальский край,"Наушники беспроводные, шт.",,,,,,,,,,,,,,,,,,,,,"2610,04","2778,34","3082,83"
Забайкальский край,"Нафазолин, 0,1%, 15 мл",,,,,,,,,,,,,,,,,,,,,,"31,54","36,87"
Забайкальский край,"Омепразол, 20 мг, 10 капсул",,,,,,,,,,,,,,,,,,,,,"27,9","27,15","23,53"
Забайкальский край,"Осельтамивир (Номидес), 75 мг, 10 капсул",,,,,,,,,,,,,,,,,,,,,"929,44","815,14","897,2"
Забайкальский край,"Пальто (полупальто)  зимнее женское с верхом из смесовых тканей, утепленное искусственным мехом (пухо-пером, двойным или тройным синтепоном), шт.",,,"1070,74","2434,66","2917,87","3437,34","3516,52","3637,09","4784,42","5456,18","6688,87","7276,25","6498,06",,,,,,,,,,
Забайкальский край,"Пальто (полупальто) для детей школьного возраста демисезонное, с верхом из плащевых, смесовых или синтетических тканей,  шт.",,,"1312,91","1201,73","1231,3","1355,32","1564,03","1581,64","1583,86","1643,86","1627,59","1913,05","1533,39",,,,,,,,,,
Забайкальский край,"Пальто женское зимнее из шерстяных или полушерстяных тканей, шт.",,,,,,,,,,,,,,,,,,,,,,,"16089,62"
Забайкальский край,"Парацетамол, 500 мг, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"25,03","27,22"
Забайкальский край,"Перекись водорода, 3%, 100 мл",,,,,,,,,,,,,,,,,,,,,,"28,02","37,47"
Забайкальский край,"Перчатки трикотажные мужские, пара",,,"54,38","62,27","63,37","69,72","79,12","82,43","86,01","104,15","137,1","145,8","151,88",,,,,,,,,,
Забайкальский край,"Печень говяжья, свиная, кг",,,,,,,,,,,,,,,,,,,,,,,"275,34"
Забайкальский край,"Пиво, л",,,,,,,,,,,,,,,,,,,,,,"218,74","264,97"
Забайкальский край,"Пижама детская, шт.",,,"174,91","175,82","177,1","186,09","190,39","196,34","210,85","235,72","264,23","281,45","298,94",,,,,,,,,,
Забайкальский край,"Платье (сарафан) для девочек школьного возраста  из хлопчатобумажных или смесовых тканей летнее, шт.",,,"213,4","240,13","248,66","277,84","278,53","279,87","286,76","364,95","442,2","458,29","467,16",,,,,,,,,,
Забайкальский край,"Платье для девочек дошкольного возраста (рост 92-122 см) из полушерстяных или смесовых тканей, шт.",,,"279,47","300,67","314,25","332,8","340,39","344,53","367,17","438,18","462,25","496,28","521,96",,,,,,,,,,
Забайкальский край,"Подписка на онлайн-видеосервисы, месяц",,,,,,,,,,,,,,,,,,,,,"301,15","301,15","336,62"
Забайкальский край,"Поездка на отдых в Египет, поездка",,,,,,,,,,,,,,,,,,,,,,39549,"64550,88"
Забайкальский край,"Поездка на отдых в ОАЭ, поездка",,,,,,,,,,,,,,,,,,,,,"92029,28","51534,31","56879,94"
Забайкальский край,"Поездка на отдых на Черноморское побережье России и в Крым, поездка",,,,,,,,,,,,,,,,,,,,,,,"53939,13"
Забайкальский край,"Поездки в отдельные страны Юго-Восточной Азии, поездка",,,,,,,,,,,,,,,,,,,,,,,"109663,06"
Забайкальский край,"Поливитамины, 10 шт.",,,,,,,,,,,,,,,,,,,,,,"50,9","57,37"
Забайкальский край,"Проживание в гостинице 1* или в мотеле, сутки с человека",,,,,,,,,,,,,,,,,,,,,"1238,04","1258,41","1289,4"
Забайкальский край,"Проживание в гостинице 2*, сутки с человека",,,,,,,,,,,,,,,,,,,,,2500,2500,2500
Забайкальский край,"Проживание в гостинице 3*, сутки с человека",,,,,,,,,,,,,,,,,,,,,"1990,56","1990,56","2026,75"
Забайкальский край,"Проживание в гостинице 4*-5*, сутки с человека",,,,,,,,,,,,,,,,,,,,,"3071,24","3071,24","3277,42"
Забайкальский край,"Проживание в хостеле, сутки с человека",,,,,,,,,,,,,,,,,,,,,"667,72","695,95","770,7"
Забайкальский край,"Прокладки женские гигиенические, 10 шт.",,,,,,,,,,,,,,,,,,,,,"118,32","133,1","175,73"
Забайкальский край,"Ремонт телевизоров, один вид работ",,,,,,,,,,,,,,,,,,,,,,,"2113,85"
Забайкальский край,"Ренгалин, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"123,15",
Забайкальский край,"Ренгалин, 20 таблеток",,,,,,,,,,,,,,,,,,,,,,,"293,09"
Забайкальский край,"Салфетки влажные, упаковка 20 шт.",,,,,,,,,,,,,,,,,,,,,"33,9","35,91","55,33"
Забайкальский край,"Санитарно-гигиеническая маска (медицинская), шт.",,,,,,,,,,,,,,,,,,,,,"9,75","7,2","5,85"
Забайкальский край,"Сапоги (сапожки, ботинки) женские осенние с верхом из искусственной кожи, на подошве из синтетического материала, пара",,,"1108,46","1108,47","1218,16","1332,52","1331,79","1351,87","1352,96","1354,17","1356,1","1359,42","1013,99",,,,,,,,,,
Забайкальский край,"Сапоги женские зимние, на утепленной подкладке (кроме натурального меха), подошве из синтетического материала, пара",,,"1329,7","1370,3","1546,19","1593,19","1681,18","1720,29","1721,49","1744,81","1747,52","1929,27","1666,35",,,,,,,,,,
Забайкальский край,"Сапоги мужские на утепленной подкладке (кроме натурального меха), подошве из синтетического материала, пара",,,"798,27","828,73","957,83","1112,23","1188,15","1204,75","1296,31","1326,72","1331,24","1421,98","1117,62",,,,,,,,,,
Забайкальский край,"Сапоги, ботинки зимние  (валенки) для детей дошкольного возраста (размер 26-29), пара",,,"349,32","314,25","287,95","292,84","312,18","372,63","456,57","534,22","590,09","737,28","782,05",,,,,,,,,,
Забайкальский край,"Сапоги, ботинки зимние для детей школьного возраста  на утепленной подкладке (кроме натурального меха), пара",,,"437,31","442,49","453,07","472,43","541,14","556,21","585,96","623,6","671,41","665,38","613,17",,,,,,,,,,
Забайкальский край,"Сигареты с фильтром, пачка",,,,,,,,,,,,,,,,,,,,,,"149,66","167,36"
Забайкальский край,"Синупрет, 25 таблеток",,,,,,,,,,,,,,,,,,,,,,"298,41",
Забайкальский край,"Синупрет, 50 таблеток",,,,,,,,,,,,,,,,,,,,,,,"582,79"
Забайкальский край,"Сковорода, шт.",,,,,,,,,,,,,,,,,,,,,,,"1739,09"
Забайкальский край,"Сливки питьевые, л",,,,,,,,,,,,,,,,,,,,,"377,17","425,45","475,18"
Забайкальский край,"Смарт-часы, шт.",,,,,,,,,,,,,,,,,,,,,,,"8818,69"
Забайкальский край,"Соска (пустышка) детская, шт.",,,,,,,,,,,,,,,,,,,,,,,"144,13"
Забайкальский край,"Сумка женская, шт.",,,,,,,,,,,,,,,,,,,,,,"2474,74","2628,44"
Забайкальский край,"Сухие приправы, специи, кг",,,,,,,,,,,,,,,,,,,,,,,"1706,84"
Забайкальский край,"Сухие супы в пакетах, кг",,,,,,,,,,,,,,,,,,,,,,"451,77","551,85"
Забайкальский край,"Сырки творожные, глазированные шоколадом, кг",,,,,,,,,,,,,,,,,,,,,,"905,59","1195,85"
Забайкальский край,"Сыры твердые, полутвердые и мягкие, кг",,,,,,,,,,,,,,,,,,,,,,,"870,36"
Забайкальский край,"Тарелка обеденная, шт.",,,,,,,,,,,,,,,,,,,,,,,"142,68"
Забайкальский край,"Творог, кг",,,,,,,,,,,,,,,,,,,,,,"558,4","646,99"
Забайкальский край,"Творожок детский, кг",,,,,,,,,,,,,,,,,,,,,,,"504,36"
Забайкальский край,"Телевизор цветного изображения отечественный, размер экрана по диагонали до 51-54 см, шт.",,,"6257,51","6302,58","6289,88","5962,04","5904,45","5904,45",,,,,,,,,,,,,,,
Забайкальский край,"Телевизор цветного изображения, размер экрана по диагонали до 40 см, шт.",,,"5119,48","4994,96","5092,92","5255,7","5346,15","5542,93","4694,59","4969,46","5124,3","4943,93","6091,71",,,,,,,,,,
Забайкальский край,"Термометр медицинский безртутный (галинстановый), шт.",,,,,,,,,,,,,,,,,,,,,"371,69","367,12","357,12"
Забайкальский край,"Трикотажный головной убор для взрослых, шт.",,,,,,,,,,,,,,,,,,,,,,,"1243,54"
Забайкальский край,"Трусы мужские, шт.",,,,,,,,,,,,,,,,,,,,,,,"290,41"
Забайкальский край,"Туфли женские закрытые, пара",,,,,,,,,,,,,,,,,,,,,,"2568,45","2702,7"
Забайкальский край,"Туфли женские летние, босоножки, пара",,,,,,,,,,,,,,,,,,,,,,"1834,09","2192,4"
Забайкальский край,"Туфли летние, босоножки женские из натуральной кожи, пара",,,,,,,,,,,,,,,,,,,,,"2353,77",,
Забайкальский край,"Умифеновир (Арбидол), 100 мг, 10 капсул (таблеток)",,,,,,,,,,,,,,,,,,,,,"313,22","288,38","299,46"
Забайкальский край,"Услуги аренды автомобилей, час",,,,,,,,,,,,,,,,,,,,,"280,33","280,33","280,33"
Забайкальский край,"Установка натяжного потолка, м2",,,,,,,,,,,,,,,,,,,,,"422,15","465,35","654,08"
Забайкальский край,"Флуконазол, 150 мг, капсула",,,,,,"94,13","94,72","96,54",,,,,,,,,,,,,,,
Забайкальский край,"Фосфоглив, 10 капсул",,,,,,,,,,,,,,,,,,,,,,"125,9","141,8"
Забайкальский край,"Фуросемид, 40 мг, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"7,63","7,19"
Забайкальский край,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",,,,,,,,,,,,,,,,,,,,,,"77,65","93,06"
Забайкальский край,"Хлоргексидин, 100 мл",,,,,,,,,,,,,,,,,,,,,"30,63",,
Забайкальский край,"Холодильник (""Минск"", ""Бирюса"") двух - трехкамерный, шт.",,,"7608,96","8107,57","9194,46","10057,96","10852,51","11810,06",,,,,,,,,,,,,,,
Забайкальский край,"Холодильник компрессионный, напольный, однокамерный, класс **, емкость холодильной камеры до 250 л, отечественного производства и производства стран СНГ, шт.",,,"6264,75","6444,56","7150,37","7683,24","8067,63","8656,84","8874,84","9262,65","9377,06","10311,29","9592,59",,,,,,,,,,
Забайкальский край,"Цефтриаксон, 1 г, упаковка",,,,,,,,,,,,,,,,,,,,,"35,24","38,7","37,93"
Забайкальский край,"Цитрамон, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"27,14","29,92"
Забайкальский край,"Чайник, шт.",,,,,,,,,,,,,,,,,,,,,,,"1284,48"
Забайкальский край,"Чемодан, шт.",,,,,,,,,,,,,,,,,,,,,,,"5569,6"
Забайкальский край,"Шарф для взрослых, шт.",,,,,,,,,,,,,,,,,,,,"719,34","675,08","670,85","705,23"
Забайкальский край,"Шарф из шерстяной, полушерстяной, синтетической или смесовой пряжи для детей, шт.",,,"55,58","69,56","72,19","88,09","95,23","110,57","146,8","155,16","173,78","170,6","156,78",,,,,,,,,,
Забайкальский край,"Шарф шерстяной, полушерстяной или из смесовой пряжи для взрослых, шт.",,,"153,45","152,99","159,67","175,03","188,16","200,74","200,63","244,06","306,58","346,4","415,33",,,,,,,,,,
Забайкальский край,"Шприцы одноразовые, шт.",,,,,,,,,,,,,,,,,,,,,"8,13","8,23","9,78"
Забайкальский край,"Экскурсионные туры по России, поездка",,,,,,,,,,,,,,,,,,,,,"26049,83","19427,63","8023,32"
Забайкальский край,"Электроутюг, шт.",,,,,,,,,,,,,,,,,,,,,,,"3645,86"
Забайкальский край,"Энтеросгель, 225 г",,,,,,,,,,,,,,,,,,,,,,"506,09","523,06"
Забайкальский край,"Эргоферон, 20 таблеток",,,,,,,,,,,,,,,,,,,,,,"473,73","552,86"
Забайкальский край,"Эуфиллин, 150 мг, 10 таблеток",,,,,,,,,,,,,,,,,,,,,,"8,38","7,96"
Забайкальский край,"Ягоды замороженные, кг",,,,,,,,,,,,,,,,,,,,,"369,63","360,71","436,69"
Забайкальский край,"Фарш мясной, кг",,,,"77,14","84,85","109,98",140,"142,48",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Пельмени, манты, равиоли, кг",,,,"74,91","74,91","98,3",100,"116,75",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Печень говяжья, кг",,,46,50,50,50,53,"56,98",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Говядина (кроме бескостного мяса), кг",,,"82,98","78,5","82,3",107,"128,98","123,9",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Говядина бескостная, кг",,,90,"101,64","111,64","137,32","144,94",130,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Свинина (кроме бескостного мяса), кг",,,95,89,"95,99","131,65","146,65",130,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Куры охлажденные и мороженые, кг",,,"46,49","59,4",79,"100,5","87,49","104,77",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Окорочка куриные, кг",,,"46,49","51,62",55,"94,5","76,49","80,5",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Баранина (кроме бескостного мяса), кг",,,68,68,"81,63","100,67","111,64",120,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сосиски, сардельки, кг",,,81,"85,67",96,100,"106,64","126,98",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Колбаса полукопченая и варено-копченая, кг",,,"121,98","122,32",125,"131,58","149,3","155,59",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Колбаса вареная I сорта, кг",,,"99,33","102,32","102,99","103,66","111,64","112,94",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Колбаса вареная высшего сорта, кг",,,101,"104,32","107,33",125,"137,32","148,31",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Мясокопчености, кг",,,,"142,98","142,98","161,65","170,99","184,55",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы мясные,  350 г",,,"33,58","33,58","33,58","36,94","40,88","46,48",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Рыба мороженая разделанная (кроме лососевых пород), кг",,,,,,,"62,45","65,99",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Рыба мороженая неразделанная, кг",,,"31,99","34,99","36,31","51,63","53,66","59,98",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сельдь соленая, кг",,,42,42,42,"66,98","69,33","80,7",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы рыбные натуральные и с добавлением масла, 350 г",,,"28,5","28,5","28,54","30,38","30,38","36,63",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы рыбные в томатном соусе, 350 г",,,"19,4","19,4","19,95","20,2","20,2","24,31",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Масло сливочное, кг",,,"78,3","82,66",90,90,"94,91","148,84",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Масло подсолнечное, кг",,,"33,64","39,06","40,47","44,57","44,57","61,4",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Маргарин, кг",,,40,40,40,44,"43,97",72,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сметана, кг",,,60,65,80,80,100,120,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Кисломолочные продукты, кг",,,21,24,30,30,"30,33",38,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Творог жирный, кг",,,20,20,30,30,44,95,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Молоко цельное разливное, л",,,15,15,20,20,21,25,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Молоко цельное пастеризованное, стерилизованное 2,5-3,2% жирности, л",,,"18,33","21,98","23,66","25,32","27,33","36,65",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Йогурт, 125 г",,,7,7,"6,83",7,"7,16",12,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Молоко сгущенное с сахаром, 400 г",,,"16,49","16,73","17,17","19,83","21,09","25,99",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Смеси сухие молочные для детского питания, кг",,,"159,96","176,65",192,201,201,"255,4",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сыры сычужные твердые и мягкие, кг",,,"103,23","109,33","126,64","136,32","139,99","264,97",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сыры плавленые, кг",,,176,176,176,176,177,"184,93",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы овощные закусочные, обеденные, кг",,,"26,74","28,5","29,98",34,36,"40,99",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Овощи натуральные консервированные, маринованные, кг",,,46,46,"46,99","47,83","53,66","72,83",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы овощные для детского питания, кг",,,90,90,"90,33",110,110,"113,64",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы томатные, кг",,,"37,99","37,99",38,"44,33",48,"51,32",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Кетчуп, кг",,,,"24,99","24,99",30,"30,65","32,62",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Соки фруктовые, л",,,"21,98","22,65","24,66",28,"30,99","35,33",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Консервы фруктово-ягодные для детского питания, кг",,,90,"93,66",94,110,"136,99","136,99",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Яйца куриные, 10 шт.",,,"23,99","23,49","29,75","29,75","30,49","41,98",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сахар-песок, кг",,,"21,33","21,33","23,33",22,"25,99","26,66",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Печенье, кг",,,"26,65","27,99","32,33","35,66","42,66","50,32",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Пряники, кг",,,23,25,26,30,"30,65","35,33",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Зефир, пастила, кг",,,50,"58,66","61,66","73,33","77,64","83,2",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Карамель, кг",,,"41,33","43,99",49,58,"61,32","69,65",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Конфеты мягкие, глазированные шоколадом, кг",,,"60,66","63,65","75,33",80,"86,29","101,66",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Шоколад, кг",,,112,"114,67","114,67","131,65",150,220,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Кексы, рулеты, кг",,,,"80,82","80,82","90,66",98,100,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Торты, кг",,,,87,87,95,150,180,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Жевательная резинка, упаковка",,,,9,9,"9,16",10,11,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Конфеты шоколадные натуральные и с добавками, кг",,,,104,104,"130,99",135,155,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Варенье, джем, повидло, кг",,,"54,5","54,5","54,5","56,49",60,"64,33",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Кофе натуральный растворимый, кг",,,315,"348,33",350,490,500,557,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Чай черный байховый, кг",,,"109,7","116,64","117,65","125,99","129,99","148,31",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Кофе натуральный в зернах и молотый, кг",,,,,,,"308,27","308,27",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Майонез, кг",,,"53,5","56,66","58,99","65,33",66,"72,67",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Соль поваренная пищевая, кг",,,"3,5","3,5","5,16","5,81","9,32","8,79",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Перец черный (горошек), кг",,,330,330,330,330,330,330,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Соль йодированная пищевая, кг",,,"3,5",,,,,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Сухие супы в пакетах, кг",,,,10,10,12,12,12,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Мука пшеничная, кг",,,"10,5","12,16","16,5","16,5","16,5","20,3",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",,,"9,23","12,31","13,85","13,85","13,85",28,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Хлеб и булочные изделия из пшеничной муки высшего сорта, кг",,,11,"14,66",15,17,18,"22,33",,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),"Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",,,"9,23","12,31","13,85","13,85","13,85","20,66",,,,,,,,,,,,,,,
